"","date","iso_a3","currency_code","name","local_price","dollar_ex","dollar_price","usd_raw","eur_raw","gbp_raw","jpy_raw","cny_raw","gdp_dollar","adj_price","usd_adjusted","eur_adjusted","gbp_adjusted","jpy_adjusted","cny_adjusted","positive","balanced","ordering"
"89",2003-04-01,"GBR","GBP","Britain",1.99,0.632911392,3.14420000201229,0.16022,0.05475,0,0.44009,1.62969,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,23
"90",2003-04-01,"HKG","HKD","Hong Kong",11.5,7.8,1.47435897435897,-0.45596,-0.50541,-0.53109,-0.32472,0.2331,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,6
"91",2003-04-01,"HUN","HUF","Hungary",490,224,2.1875,-0.1928,-0.26619,-0.30427,0.00191,0.82955,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,18
"92",2003-04-01,"IDN","IDR","Indonesia",16100,8740,1.84210526315789,-0.32026,-0.38205,-0.41413,-0.15629,0.54067,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,9
"93",2003-04-01,"JPN","JPY","Japan",262,120,2.18333333333333,-0.19434,-0.26758,-0.3056,0,0.82606,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,16
"94",2003-04-01,"KOR","KRW","South Korea",3300,1220,2.70491803278689,-0.00188,-0.09261,-0.13971,0.23889,1.2623,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,21
"95",2003-04-01,"MEX","MXN","Mexico",23,10.53,2.18423551756885,-0.19401,-0.26728,-0.30531,0.00041,0.82682,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,17
"96",2003-04-01,"MYS","MYR","Malaysia",5.04,3.8,1.32631578947368,-0.51058,-0.55508,-0.57817,-0.39253,0.10928,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,3
"97",2003-04-01,"NZL","NZD","New Zealand",3.95,1.78,2.21910112359551,-0.18114,-0.25558,-0.29422,0.01638,0.85598,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,20
"98",2003-04-01,"POL","PLN","Poland",6.3,3.89,1.61953727506427,-0.40238,-0.45671,-0.48491,-0.25823,0.35452,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,8
"99",2003-04-01,"RUS","RUB","Russia",41,31.1,1.31832797427653,-0.51353,-0.55776,-0.58071,-0.39619,0.1026,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,2
"100",2003-04-01,"SGP","SGD","Singapore",3.3,1.78,1.85393258426966,-0.31589,-0.37808,-0.41036,-0.15087,0.55056,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,11
"101",2003-04-01,"SWE","SEK","Sweden",30,8.34,3.59712230215827,0.32735,0.20668,0.14405,0.64754,2.0085,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,24
"102",2003-04-01,"THA","THB","Thailand",59,42.7,1.38173302107728,-0.49014,-0.53649,-0.56055,-0.36715,0.15563,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,4
"103",2003-04-01,"TWN","TWD","Taiwan",70,34.8,2.01149425287356,-0.25775,-0.32523,-0.36025,-0.0787,0.68234,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,15
"104",2003-04-01,"ZAF","ZAR","South Africa",13.95,7.56,1.8452380952381,-0.3191,-0.381,-0.41313,-0.15485,0.54329,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,10
"105",2004-05-01,"ARG","ARS","Argentina",4.36,2.95,1.47796610169492,-0.49036,-0.5505,-0.56081,-0.36256,0.17669,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,5
"106",2004-05-01,"AUS","AUD","Australia",3.25,1.43,2.27272727272727,-0.2163,-0.30878,-0.32464,-0.01978,0.80944,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,16
"107",2004-05-01,"BRA","BRL","Brazil",5.4,3.18,1.69811320754717,-0.41444,-0.48354,-0.49539,-0.26761,0.35196,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,8
"108",2004-05-01,"CAN","CAD","Canada",3.19,1.37,2.32846715328467,-0.19708,-0.29183,-0.30807,0.00426,0.85382,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,18
"109",2004-05-01,"CHE","CHF","Switzerland",6.3,1.29,4.88372093023256,0.68404,0.48532,0.45124,1.10634,2.88819,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,26
"110",2004-05-01,"CHL","CLP","Chile",1400,641,2.18408736349454,-0.24687,-0.33574,-0.35098,-0.05801,0.73887,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,14
"111",2004-05-01,"CHN","CNY","China",10.4,8.28,1.256038647343,-0.56688,-0.61799,-0.62676,-0.45827,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,1
"112",2004-05-01,"CZE","CZK","Czech Republic",56.42,26.5,2.12905660377359,-0.26584,-0.35248,-0.36733,-0.08174,0.69506,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,13
"113",2004-05-01,"DNK","DKK","Denmark",27.75,6.22,4.46141479099679,0.53842,0.35688,0.32575,0.9242,2.55197,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,25
"114",2004-05-01,"EUZ","EUR","Euro area",2.74,0.833333333,3.2880000013152,0.13379,0,-0.02294,0.41811,1.61775,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,22
"115",2004-05-01,"GBR","GBP","Britain",1.88,0.558659218,3.36519999925966,0.16041,0.02348,0,0.4514,1.67922,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,23
"116",2004-05-01,"HKG","HKD","Hong Kong",12,7.79,1.54043645699615,-0.46882,-0.5315,-0.54225,-0.33561,0.22642,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,6
"117",2004-05-01,"HUN","HUF","Hungary",530,211,2.51184834123223,-0.13385,-0.23606,-0.25358,0.08335,0.99982,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,19
"118",2004-05-01,"IDN","IDR","Indonesia",16100,9120,1.76535087719298,-0.39126,-0.46309,-0.47541,-0.23861,0.40549,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,9
"119",2004-05-01,"JPN","JPY","Japan",262,113,2.31858407079646,-0.20049,-0.29483,-0.31101,0,0.84595,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,17
"120",2004-05-01,"KOR","KRW","South Korea",3200,1177,2.71877655055225,-0.06249,-0.17312,-0.19209,0.1726,1.16456,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,21
"121",2004-05-01,"MEX","MXN","Mexico",24,11.6,2.06896551724138,-0.28656,-0.37075,-0.38519,-0.10766,0.64721,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,12
"122",2004-05-01,"MYS","MYR","Malaysia",5.04,3.8,1.32631578947368,-0.54265,-0.59662,-0.60587,-0.42796,0.05595,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,2
"123",2004-05-01,"NZL","NZD","New Zealand",4.35,1.64,2.65243902439024,-0.08537,-0.1933,-0.2118,0.14399,1.11175,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,20
"124",2004-05-01,"POL","PLN","Poland",6.3,3.87,1.62790697674419,-0.43865,-0.50489,-0.51625,-0.29789,0.29606,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,7
"125",2004-05-01,"RUS","RUB","Russia",42,29,1.44827586206897,-0.50059,-0.55953,-0.56963,-0.37536,0.15305,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,4
"126",2004-05-01,"SGP","SGD","Singapore",3.3,1.71,1.92982456140351,-0.33454,-0.41307,-0.42653,-0.16767,0.53644,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,11
"127",2004-05-01,"SWE","SEK","Sweden",30,7.61,3.94218134034166,0.35937,0.19896,0.17146,0.70025,2.13858,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,24
"128",2004-05-01,"THA","THB","Thailand",59,40.8,1.44607843137255,-0.50135,-0.5602,-0.57028,-0.37631,0.1513,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,3
"129",2004-05-01,"TWN","TWD","Taiwan",75,33.4,2.24550898203593,-0.22569,-0.31706,-0.33273,-0.03152,0.78777,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,15
"130",2004-05-01,"ZAF","ZAR","South Africa",12.4,6.66,1.86186186186186,-0.35798,-0.43374,-0.44673,-0.19698,0.48233,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,10
"131",2005-06-01,"ARG","ARS","Argentina",4.75,2.897,1.6396272005523,-0.46417,-0.5424,-0.52342,-0.30011,0.2924,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,7
"132",2005-06-01,"AUS","AUD","Australia",3.25,1.3015,2.49711870918171,-0.18395,-0.30309,-0.27418,0.06592,0.9683,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,16
"133",2005-06-01,"BRA","BRL","Brazil",5.9,2.4648,2.39370334307043,-0.21774,-0.33195,-0.30424,0.02178,0.88679,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,13
